SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.9,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,181,0,14,14,5,33,33,32,29,32,10,7,0,1207,0,95,149,42,270,206,210,219,150,67,43,0,0.00404858,0.00549451,0,0,0.0020202,0.0185185,0.00464396,0.00617284,0,0.0117647,0.00434783,0,0.00467836,0.00325203,0,0.00278552,0.00288878,0.00884956,0,0.00229358,0.00763359,0,0.00549451,0,0.0242915,0,0,0.00361011,0.00402994,0,0.00210748,0,0.00276625,0.00312989,0.00112108,0.00669643,0.00191205,0.00423012,0.00143266,0.00363636,0,0.0044405,0.00609756,0,0.00250627,0.00675676,0,0.00353982,0.00666667,0.00847458,0.00328864,0.00326531,0.00518135,0,0.00334448,0.00302077,0.00475624,0.00246914,0.00584795,0,0,0.00414651,0.00204186,0.003125,0.0222672,0.0164835,0.0171756,0.0392157,0.0262626,0.0185185,0.0386997,0.0432099,0.008,0.0470588,0.0152174,0,0.019883,0.0227642,0.0267857,0.0194986,0.0216659,0.0442478,0.0215054,0.0229358,0.0343511,0,0.0241758,0.0207852,0.206478,0,0.0133333,0.0216606,0.0259067,0,0.0168599,0.0353982,0.02213,0.0219092,0.0190583,0.015625,0.0207138,0.0177665,0.02149,0.0254545,0,0.0213144,0.0182927,0.0188235,0.0300752,0.0225225,0.0425532,0.0204804,0.0133333,0.0338983,0.0197318,0.0204082,0.0310881,0.0133333,0.0200669,0.0207678,0.0214031,0.0222222,0.0190058,0,0.0188679,0.0214236,0.0250128,0.015625,4153078380
1,2011,0.9,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,54104,2521,6147,6107,12726,12120,7376,6739,6761,4650,2424,1200,108,194,1,12,12,4,36,40,36,32,27,13,6,0,1175,1,80,125,29,258,221,193,217,145,71,37,4,0.00589391,0.00578035,0.00201613,0,0.00390625,0.0192308,0.00458716,0.011976,0,0.00568182,0.00530786,0,0.00357569,0.00315956,0,0.00554017,0.00445104,0.00806452,0,0.00227273,0.0078125,0,0.00549451,0,0.0204918,0,0,0.00377834,0.00637312,0,0.00263852,0,0.00289855,0.00256328,0.00113122,0.0043573,0.00189934,0.00347826,0.00294551,0.0018622,0,0.00351185,0.00684932,0,0.00255754,0,0,0.00352912,0.00662252,0.0176991,0.0038324,0.00288541,0.00487805,0,0.00337838,0.00338558,0.00596659,0.00242131,0.00576369,0,0,0.00428571,0.00361944,0.00457317,0.0275049,0.017341,0.0141129,0.0350877,0.0253906,0.0576923,0.0321101,0.0419162,0.00803213,0.0397727,0.014862,0,0.0166865,0.0221169,0.018018,0.0193906,0.0237389,0.0564516,0.0236686,0.0227273,0.0390625,0.0185185,0.021978,0.0187793,0.196721,0,0.0125786,0.0214106,0.0266512,0,0.0153034,0.034188,0.0217391,0.0205062,0.020362,0.0108932,0.0186768,0.0182609,0.0191458,0.0260708,0,0.0210711,0.00684932,0.0187354,0.0255754,0.0154185,0.041958,0.0201664,0.0198675,0.0442478,0.0199285,0.0185491,0.0243902,0.0128205,0.0202703,0.0213166,0.0274463,0.0193705,0.018732,0,0.0185185,0.0178571,0.0258532,0.0167683,4153078380
1,2012,0.9,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,53791,2457,6039,5849,12541,11896,7714,6464,6605,4695,2527,1146,203,271,1,14,15,7,40,56,48,44,47,15,11,3,1449,9,81,105,38,270,308,229,262,199,90,46,7,0.01002,0.0130719,0.00413223,0,0.00773694,0.0545455,0.00452489,0.0123457,0,0.010989,0.00652174,0,0.00364078,0.00460123,0,0.00842697,0.00397022,0,0,0.00444444,0.0120968,0,0.00918485,0,0.031746,0,0,0.00254777,0.00871586,0,0.00431267,0,0.0056899,0.00557194,0.00113507,0,0.00252127,0.0044405,0.00729927,0,0,0.00531444,0.0135135,0,0.00257732,0,0,0.00303413,0.00684932,0.00847458,0.00651211,0.00404694,0.00444444,0,0.00643087,0.00428319,0.0138365,0.00493827,0.0101744,0,0,0.00854701,0.00366109,0.00769231,0.0380762,0.0261438,0.0206612,0.037037,0.0290135,0.2,0.0286576,0.0617284,0.00754717,0.0549451,0.0217391,0,0.0230583,0.0276074,0.0135747,0.0280899,0.0258065,0.0687023,0.0228571,0.0266667,0.0725806,0.0357143,0.0390356,0.0189125,0.190476,0,0.0120482,0.0318471,0.0383498,0,0.0242588,0.0188679,0.0355619,0.0265487,0.0181612,0.011236,0.0189095,0.0230906,0.0189781,0.026975,0,0.023915,0.027027,0.0162037,0.0360825,0.0148305,0.0397351,0.0214918,0.0205479,0.0508475,0.0278718,0.0206394,0.0311111,0.0135135,0.022508,0.0249433,0.0465409,0.0271605,0.0334302,0,0.0185185,0.0277778,0.0292887,0.02,4153078380
1,2013,0.9,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,53309,2376,5923,5625,12190,11506,8221,6247,6370,4789,2628,1093,265,389,2,18,22,10,45,102,60,68,57,27,15,5,1792,19,77,137,58,271,435,277,315,232,133,56,15,0.00994036,0.013986,0.00647948,0,0.00961538,0.0877193,0.00454545,0.00606061,0.0037594,0.011236,0.00767544,0,0.00496278,0.00308166,0,0.00835655,0.00401405,0,0,0.00431034,0.0165289,0,0.015891,0,0.063745,0,0,0.00501882,0.0121729,0,0.00876712,0,0.011396,0.00761842,0.00239521,0,0.00409965,0.00723982,0.0118871,0,0,0.00779221,0.0136054,0,0.00779221,0,0.00657895,0.00483584,0.00769231,0.00952381,0.00905218,0.00526316,0,0.0136986,0.0120846,0.00645815,0.0189155,0.00714286,0.0167939,0,0,0.0100503,0.00653239,0.00950872,0.0596421,0.034965,0.0280778,0.04,0.0307692,0.22807,0.0272727,0.0545455,0.0112782,0.0842697,0.0285088,0,0.0260546,0.0308166,0.00913242,0.0362117,0.0366282,0.0522388,0.0168539,0.0301724,0.0826446,0.0526316,0.0522134,0.021327,0.183267,0.0425532,0.0108108,0.0376412,0.0541692,0,0.0317808,0.0185185,0.0384615,0.0311361,0.0215569,0.0138249,0.0220751,0.0289593,0.0341753,0.0229008,0,0.0268398,0.0408163,0.0110375,0.038961,0.0210526,0.0394737,0.0272334,0.0230769,0.0761905,0.03541,0.0255061,0.0299145,0.0410959,0.021148,0.0320375,0.07314,0.0309524,0.0473282,0,0.0185185,0.0373295,0.03865,0.0269414,4153078380
1,2014,0.9,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,52858,2340,5797,5530,11919,11210,8582,6032,6173,4841,2689,1101,311,573,4,15,43,12,77,148,89,101,75,39,24,8,2393,36,75,208,87,378,560,355,425,297,186,80,25,0.0146138,0.013986,0.0109409,0,0.0117878,0.0980392,0.00317965,0.00617284,0.0105634,0.00613497,0.00769231,0,0.00634518,0.00447761,0,0.00852273,0.00511247,0,0,0.00829876,0.0210084,0,0.0264977,0,0.0850202,0,0,0.00922266,0.0142151,0.00869565,0.0108284,0.00884956,0.0217707,0.0135501,0.00483676,0,0.0055918,0.0119705,0.0149031,0.00196464,0,0.00922819,0.0202703,0,0.0205656,0.00384615,0.00653595,0.00707177,0.0172414,0.0206186,0.0146064,0.00738007,0,0.0126582,0.00895522,0.00955414,0.0343511,0.00228311,0.0269841,0,0,0.0191317,0.0122087,0.011745,0.0814196,0.0629371,0.0437637,0.04,0.0569745,0.313725,0.0349762,0.0925926,0.028169,0.110429,0.0373626,0,0.0329949,0.0328358,0.014218,0.0738636,0.0444785,0.0496454,0.0154639,0.0435685,0.113445,0.047619,0.0956221,0.021327,0.206478,0.0212766,0.0205128,0.0500659,0.066131,0.0173913,0.0460206,0.0265487,0.053701,0.0436992,0.0278114,0.0200893,0.0304442,0.0460405,0.0491803,0.0196464,0.0454545,0.0327181,0.0743243,0.0125786,0.0822622,0.0288462,0.0392157,0.0335254,0.0689655,0.0824742,0.0478767,0.0295203,0.0316742,0.0379747,0.0477612,0.042293,0.104326,0.0319635,0.0634921,0,0.0178571,0.053716,0.0477248,0.045302,4153078380
1,2015,0.9,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.901451,0.002,0.00041,A,0,26,52380,2290,5653,5424,11600,10935,8808,5878,6055,4926,2711,1121,346,849,8,21,52,20,116,207,138,136,124,64,32,12,3219,43,120,288,130,539,756,483,520,413,240,103,35,0.0230126,0.0318471,0.0152838,0,0.0135135,0.163636,0.00472441,0.0248447,0.0103806,0.00625,0.0113766,0,0.0114504,0.00591716,0,0.0084507,0.00625652,0,0.00505051,0.00623701,0.0489796,0,0.0445487,0.00737101,0.0942623,0,0,0.0128205,0.0178458,0.00840336,0.0159428,0.00892857,0.0252809,0.0201709,0.0103093,0.00704225,0.00834106,0.0196629,0.0261628,0.00589391,0,0.0126369,0.0392157,0.00202429,0.0321716,0.01341,0.0264901,0.00950119,0.0338983,0.0275229,0.0204589,0.0103434,0,0,0.0150602,0.0159388,0.0440415,0.00232019,0.046252,0,0,0.0280091,0.0159817,0.0178862,0.0920502,0.0764331,0.0611354,0.06,0.0637066,0.4,0.0456693,0.111801,0.0346021,0.1375,0.0432309,0,0.0445293,0.0384615,0.0232558,0.084507,0.052659,0.0633803,0.0151515,0.045738,0.142857,0.0447761,0.143025,0.031941,0.213115,0.0196078,0.0247525,0.0602564,0.0924156,0.0252101,0.0632216,0.0357143,0.0617978,0.0594872,0.0451031,0.0328638,0.0420142,0.0692884,0.0712209,0.0235756,0.0434783,0.0412805,0.0915033,0.0303644,0.112601,0.0440613,0.0463576,0.044075,0.152542,0.155963,0.0732651,0.0393049,0.0309735,0.0506329,0.0722892,0.0588312,0.129534,0.0440835,0.100478,0,0.0181818,0.0862983,0.0605023,0.0666667,4153078380
1,2016,0.9,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.900116,0.002,0.00041,A,0,26,51810,2214,5500,5362,11316,10723,9004,5685,5902,4936,2731,1128,385,121,0,1,9,7,14,28,27,17,16,6,6,0,2214,19,92,198,99,389,542,347,325,261,171,61,19,0.00606061,0.00657895,0.00438596,0,0,0,0,0,0,0,0.00113766,0,0,0.00316456,0,0,0.0026441,0,0,0.00412371,0.00843882,0,0.00838323,0.00244499,0.00803213,0,0,0.00896287,0.00262467,0.00877193,0.00164745,0,0.00149925,0.002808,0.00258398,0,0.000306466,0,0.00312989,0.00193798,0,0.000856164,0,0.00203252,0.0111732,0,0.00625,0.00211752,0.00862069,0.0265487,0.00342759,0.00127389,0,0,0.00611621,0.00221239,0.001321,0,0.00465116,0,0,0.00228137,0.0017192,0,0.0505051,0.0657895,0.0416667,0.02,0.0349515,0.183673,0.024,0.0795455,0.0272109,0.0426829,0.0307167,0,0.0268542,0.0348101,0.0150754,0.0657143,0.0343733,0.0699301,0,0.0371134,0.0970464,0.0454545,0.0994012,0.0244499,0.100402,0.02,0.021164,0.0576184,0.0682415,0.00877193,0.0384404,0,0.041979,0.044577,0.0322997,0.027907,0.0291143,0.0449331,0.0485133,0.0174419,0.0740741,0.0291096,0.0763889,0.0101626,0.0614525,0.0269231,0.0125,0.0349391,0.0948276,0.185841,0.055984,0.0267516,0.0180995,0.0384615,0.0642202,0.0413847,0.0964333,0.027972,0.0666667,0,0,0.0555133,0.0372493,0.0485133,4153078380
1,2017,0.9,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.901864,0.002,0.00041,A,0,26,51296,2261,5398,5289,11076,10517,9168,5544,5691,4967,2783,1149,401,11,1,0,1,2,1,4,1,1,0,1,1,0,1165,15,42,75,40,189,310,188,157,139,97,34,11,0,0,0.0021692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104767,0,0,0,0,0,0.00124688,0,0,0,0,0.0026178,0,0,0,0,0,0,0.00131926,0,0,0,0,0,0,0,0,0,0.00280112,0,0,0,0,0,0.00057971,0,0,0,0,0,0,0,0.00162075,0,0,0,0,0,0.0188285,0.0397351,0.0195228,0.0204082,0.0153846,0.047619,0.0097561,0.0487805,0.0234114,0.0326797,0.0150289,0,0.0159787,0.0172956,0.0186916,0.0284091,0.018858,0.027972,0,0.0243902,0.0472103,0.0151515,0.0561097,0.00742574,0.0564516,0.0181818,0,0.0353403,0.0347594,0.00862069,0.0206358,0,0.0276498,0.021315,0.025066,0.014218,0.0158189,0.0226202,0.0289855,0.010846,0,0.0174978,0.0344828,0.010142,0.0392157,0.0113422,0.00568182,0.015932,0.0775862,0.0803571,0.0278261,0.0150797,0.0134529,0,0.0325444,0.0244764,0.0561497,0.00917431,0.0453809,0,0,0.0231343,0.0171233,0.0218069,4153078380
1,2018,0.9,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.901291,0.002,0.00041,A,0,26,50725,2330,5269,5206,10737,10343,9301,5426,5492,4968,2822,1207,429,0,0,0,0,0,0,0,0,0,0,0,0,0,538,7,12,29,16,68,151,102,66,67,44,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042735,0,0.00900901,0,0.0113852,0.025641,0.0033389,0.0248447,0.00325733,0.0186335,0.00819672,0,0.00816327,0.00478469,0.0235849,0.00598802,0.00849257,0.00714286,0,0.0183673,0.0173913,0.0147059,0.023544,0.00259067,0.0321285,0.0181818,0,0.0134048,0.0142566,0.00869565,0.00622172,0,0.0137195,0.00820589,0.0150892,0.010101,0.00650356,0.0124402,0.0131579,0.00425532,0,0.00711744,0.0272109,0.0043956,0.0289855,0.00374532,0.00546448,0.00935829,0.047619,0.0280374,0.015896,0.00736888,0.00454545,0,0.00857143,0.0118953,0.0225464,0,0.0215589,0,0,0.0110701,0.00696056,0.00949367,4153078380
1,2019,0.9,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.898224,0.002,0.00041,A,0,26,50159,2134,5219,5067,10453,10109,9341,5455,5316,4920,2899,1226,440,0,0,0,0,0,0,0,0,0,0,0,0,0,239,1,4,13,5,26,73,37,33,36,20,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00417537,0,0,0,0.00974659,0.025641,0.00342466,0.0246914,0,0.0130719,0.00120337,0,0.00416667,0.00315956,0.00526316,0,0.00266241,0.0075188,0,0.00858369,0.0138889,0,0.0114068,0,0.0171674,0,0,0.00522876,0.00544959,0,0.0017311,0,0.00629921,0.00374953,0.00418994,0.00255102,0.00282043,0.00564972,0.00683761,0.00207469,0,0.00183486,0.00625,0.00217865,0.0152439,0,0.0052356,0.00376952,0.0178571,0.00892857,0.00678666,0.00529334,0,0,0,0.00529311,0.0119363,0,0.0118243,0,0,0.00773395,0.00357143,0.00493421,4153078380
