SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.7,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,187,0,19,17,9,39,35,36,31,18,10,9,0,1195,0,86,137,40,261,226,222,214,122,69,41,0,0.00202429,0,0.00572519,0.0196078,0.0020202,0,0.00464396,0.00617284,0.004,0.00588235,0.00326087,0,0.00350877,0.00487805,0,0.00278552,0.00192585,0,0,0,0,0,0.0032967,0.00461894,0.0526316,0.0212766,0,0.00240674,0.00460564,0.0277778,0.00316122,0,0,0.00375587,0.00224215,0,0.00318674,0.00253807,0.00143266,0.00181818,0,0.0053286,0.00609756,0.00470588,0.00250627,0,0,0.00328698,0.00666667,0,0.0027827,0.00367347,0,0,0.00668896,0.00352423,0.00237812,0,0,0,0,0.00138217,0.00765697,0.0015625,0.00809717,0.0384615,0.0267176,0.0588235,0.0282828,0.0185185,0.0216718,0.0246914,0.032,0.0235294,0.025,0.0555556,0.0140351,0.0211382,0.00892857,0.0306407,0.0202215,0.00884956,0.016129,0.0183486,0.0152672,0.0227273,0.0208791,0.0369515,0.226721,0.0212766,0.0133333,0.0144404,0.0247553,0.0648148,0.0179136,0.00884956,0.0152144,0.0203443,0.0302691,0.00892857,0.0213512,0.0203046,0.0157593,0.0236364,0,0.0230906,0.0182927,0.0164706,0.0200501,0.0135135,0.0141844,0.0184576,0.00666667,0.00847458,0.0212497,0.02,0.0207254,0.04,0.0334448,0.0195091,0.0214031,0.0222222,0.0204678,0.0208333,0.0188679,0.0304077,0.0265442,0.0265625,1476822540
1,2011,0.7,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,54043,2507,6119,6030,12655,12081,7304,6796,6756,4708,2445,1187,111,209,0,17,14,5,42,38,33,42,24,11,14,0,1213,2,71,121,25,250,238,215,237,126,73,45,4,0.00196078,0,0.00579151,0.0192308,0.00200401,0.0175439,0.00776398,0.00625,0.00393701,0.00584795,0.00216216,0,0.00236128,0.00633914,0,0.00289017,0.00347395,0,0,0,0,0,0.00318471,0.004662,0.0472103,0,0,0.00247831,0.00582751,0.0185185,0.00318302,0,0,0.00543131,0.00342075,0,0.00444444,0.00260643,0.00143062,0.00181818,0,0.005386,0.00581395,0.00492611,0.00726392,0.00232019,0,0.00374625,0,0,0.00257136,0.00330306,0,0,0.00673401,0.00427028,0.00122699,0,0,0,0.0188679,0.00206897,0.00720165,0.00321543,0.0117647,0.0351759,0.030888,0.0576923,0.0300601,0.0350877,0.0248447,0.025,0.0275591,0.0292398,0.0281081,0.047619,0.0118064,0.0206022,0.0097561,0.0289017,0.0188586,0.010101,0.0167598,0.0155556,0.0148699,0.0238095,0.0244161,0.032634,0.206009,0.0243902,0.0186335,0.0173482,0.0238928,0.0648148,0.0180371,0.00862069,0.0140845,0.0214058,0.0296465,0.00873362,0.0215873,0.0217202,0.0157368,0.0218182,0,0.02693,0.0174419,0.0197044,0.0290557,0.0208817,0.0149254,0.01998,0.00689655,0.00840336,0.0192852,0.0206441,0.015544,0.0394737,0.030303,0.0207234,0.0184049,0.0205656,0.0176991,0.02,0.0377358,0.0310345,0.0298354,0.0241158,1476822540
1,2012,0.7,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,53708,2440,5997,5829,12394,11831,7656,6521,6601,4807,2549,1147,202,287,3,15,17,7,52,52,41,60,37,21,17,0,1492,10,62,135,28,279,304,250,298,186,86,55,6,0.00410678,0,0.00776699,0.0377358,0.00199601,0.012987,0.00801282,0.00689655,0,0.00595238,0.00330033,0,0.00472813,0.00947867,0,0.00293255,0.0035497,0,0,0,0,0,0.00533049,0.00921659,0.0702479,0,0,0.00364078,0.00757135,0.0186916,0.00321716,0,0.00280112,0.00711744,0.00464037,0,0.00578778,0.00447227,0.00144092,0.00561798,0,0.00779221,0.00574713,0.0150376,0.00997506,0.0045045,0,0.00567621,0,0,0.00336875,0.00329354,0,0,0.00729927,0.00607287,0.00372208,0.00253165,0.00152672,0,0.0181818,0.002772,0.00728408,0.00671141,0.026694,0.0218579,0.038835,0.150943,0.0239521,0.0909091,0.036859,0.0413793,0.0220588,0.0238095,0.029703,0.0454545,0.0165485,0.0252765,0.00492611,0.026393,0.0192698,0.00970874,0.0113636,0.0106157,0.0148148,0.0238095,0.04371,0.0345622,0.239669,0.0227273,0.0123457,0.0230583,0.0256261,0.102804,0.0203753,0.0188679,0.0210084,0.0274992,0.0336427,0.00877193,0.0250804,0.0250447,0.0144092,0.0224719,0,0.0354978,0.0229885,0.0401003,0.0473815,0.0292793,0.0133333,0.0229516,0,0.00813008,0.0233221,0.02676,0.0215054,0.0277778,0.0328467,0.0289727,0.0223325,0.0202532,0.0198473,0.0208333,0.0545455,0.031185,0.0379813,0.0486577,1476822540
1,2013,0.7,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,53204,2379,5915,5648,12003,11481,8083,6271,6457,4887,2648,1104,270,385,4,16,26,12,64,86,49,71,54,27,17,5,1837,19,61,154,57,326,392,292,340,232,119,61,18,0.0107759,0,0.00994036,0.0566038,0.00406504,0.025641,0.00941915,0.00684932,0.00719424,0.00653595,0.00472813,0,0.00597372,0.00612557,0,0.00302115,0.0082602,0,0,0,0,0,0.00746269,0.0140187,0.0779221,0,0,0.00480769,0.0104712,0.0204082,0.00442723,0,0.0055788,0.00946784,0.00820633,0,0.00864,0.00452899,0.00146413,0.00612245,0,0.00853242,0.0122699,0.0209974,0.0153453,0.00681818,0,0.00695825,0,0,0.00526454,0.00446067,0,0,0.0147059,0.00832906,0.00369004,0.00738916,0.00155763,0,0.0181818,0.00210084,0.00850611,0.00837521,0.0387931,0.0273224,0.0497018,0.188679,0.0325203,0.128205,0.0455259,0.0410959,0.0251799,0.0457516,0.035461,0.0454545,0.0238949,0.0352221,0.00483092,0.0332326,0.0263294,0.00862069,0.0150754,0.00650759,0.0150376,0.0227273,0.0469083,0.046729,0.225108,0.0238095,0.00595238,0.0264423,0.0354857,0.142857,0.0249032,0.0181818,0.0334728,0.0336272,0.042204,0.0114155,0.03584,0.0326087,0.0204978,0.0265306,0,0.0426621,0.0368098,0.0577428,0.0716113,0.0318182,0.0138889,0.02833,0,0.0163934,0.0292182,0.0312247,0.010582,0.025974,0.0477941,0.0360072,0.0307503,0.0246305,0.0186916,0.0204082,0.0363636,0.035014,0.0499734,0.0536013,1476822540
1,2014,0.7,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,52793,2320,5780,5548,11781,11214,8405,6034,6278,4934,2732,1094,321,569,9,17,33,19,80,120,85,102,82,47,24,10,2386,37,94,172,94,384,551,350,428,308,163,80,28,0.0149573,0,0.011583,0.114754,0.00636943,0.0273973,0.014658,0.00689655,0.0140351,0.0149254,0.00968523,0,0.0110159,0.00446429,0.00515464,0.003003,0.0118009,0,0,0,0,0,0.0159744,0.0217918,0.112971,0,0,0.00857843,0.0136905,0.0114943,0.00655022,0,0.00581395,0.0164528,0.015873,0,0.0126254,0.0092081,0.00146628,0.00990099,0,0.0122378,0.0188679,0.0277078,0.025641,0.00659341,0,0.00933661,0,0,0.00909091,0.00658436,0,0,0.0110294,0.0109283,0.00373599,0.0181818,0.00162602,0,0.0166667,0.00501074,0.0125341,0.0116086,0.0512821,0.0282486,0.0637066,0.262295,0.0339703,0.136986,0.0635179,0.0413793,0.0421053,0.0671642,0.035109,0,0.0305998,0.0431548,0.0257732,0.033033,0.0451514,0.00793651,0.00943396,0.00224215,0.016,0.0222222,0.0660277,0.0847458,0.284519,0.0217391,0,0.0355392,0.05,0.172414,0.0283843,0.0186916,0.0508721,0.047055,0.0537241,0.0120192,0.0501781,0.0432781,0.0249267,0.0336634,0.0714286,0.0515734,0.0440252,0.0856423,0.123077,0.0395604,0.0134228,0.0400491,0.00787402,0.0190476,0.0339572,0.0374486,0.010582,0.0246914,0.0588235,0.0480843,0.0286426,0.0340909,0.0146341,0.0188679,0.0333333,0.0422334,0.0604905,0.0696517,1476822540
1,2015,0.7,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.698577,0.002,0.00041,A,0,26,52272,2271,5656,5446,11480,10982,8629,5850,6108,4950,2817,1104,352,862,19,44,60,49,123,218,107,142,115,58,33,17,3453,54,247,334,195,677,848,454,514,425,199,107,34,0.0185185,0.0110497,0.0220884,0.147541,0.00888889,0.0243902,0.0212072,0.0204082,0.0201342,0.0305344,0.0135635,0,0.013597,0.0101597,0.00537634,0.00302115,0.0183824,0.00793651,0.00456621,0.00217865,0,0,0.0191489,0.023622,0.15859,0.0217391,0,0.0121359,0.021726,0.0240964,0.00877193,0,0.010101,0.0236746,0.0255102,0.00242718,0.0190978,0.015582,0.00865801,0.0184805,0,0.0209974,0.0188679,0.0415584,0.0447368,0.0108225,0.011976,0.0166791,0,0,0.0127302,0.0111248,0,0,0.018315,0.0160269,0.00512821,0.0249433,0.0033389,0,0,0.00950292,0.0197477,0.0179445,0.0671296,0.0441989,0.0943775,0.377049,0.0488889,0.134146,0.0766721,0.0680272,0.0805369,0.0916031,0.0591862,0,0.0593325,0.0566038,0.0268817,0.0392749,0.0640756,0.015873,0.0182648,0.00653595,0.0210084,0.0217391,0.0925532,0.115486,0.361233,0.0869565,0.0235294,0.0606796,0.0742305,0.216867,0.0444079,0.0454545,0.0721501,0.0726909,0.0765306,0.0218447,0.0727692,0.0779102,0.047619,0.0718686,0.05,0.0778653,0.0754717,0.0935065,0.144737,0.0562771,0.0479042,0.0604929,0.0229008,0.0116279,0.0509209,0.0548002,0.0108696,0.0449438,0.106227,0.068502,0.0487179,0.0634921,0.0217028,0,0.0833333,0.0511696,0.0844761,0.08646,1476822540
1,2016,0.7,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.699932,0.002,0.00041,A,0,26,51785,2198,5497,5349,11240,10714,8953,5617,5976,4905,2877,1115,388,404,3,32,35,19,72,120,48,62,50,22,7,4,3109,41,289,364,197,687,800,345,458,365,165,66,26,0.00724638,0,0.00203252,0.0833333,0.00225225,0,0.00519031,0.00657895,0.00970874,0.0254237,0.00375,0,0.00979192,0.0117302,0,0,0.00958977,0,0.00444444,0,0,0,0.00970874,0.0179949,0.0686275,0.0217391,0.00595238,0.00843373,0.00740284,0.0123457,0.00510204,0,0.00141443,0.0122825,0.0156658,0,0.006917,0.00747664,0.00439239,0.00856531,0,0.00684932,0,0.0346667,0.0230769,0.0126582,0,0.00804829,0,0.0113636,0.00605727,0.0045719,0,0.0111111,0.0183824,0.0071924,0.00132626,0.0132159,0,0,0,0.00580552,0.00778643,0.011041,0.0652174,0.0248447,0.0731707,0.266667,0.036036,0.0833333,0.0640138,0.0263158,0.0517799,0.101695,0.055,0,0.0550796,0.0615836,0.0322581,0.0318471,0.0671284,0.015873,0.0266667,0.0107759,0.0182648,0.0555556,0.0841424,0.115681,0.313725,0.0869565,0.0416667,0.0650602,0.0586058,0.234568,0.042517,0.0238095,0.0608204,0.0678949,0.0652742,0.0208877,0.0625823,0.0672897,0.045388,0.0706638,0,0.057363,0.0432099,0.088,0.15641,0.0506329,0.0295858,0.0573441,0.0147059,0.0340909,0.0547907,0.0440565,0.0108696,0.0555556,0.0845588,0.0644747,0.0450928,0.0550661,0.0187394,0.0384615,0.0178571,0.0457184,0.070634,0.0662461,1476822540
1,2017,0.7,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.699589,0.002,0.00041,A,0,26,51293,2210,5365,5242,11002,10487,9204,5447,5788,4904,2909,1166,386,182,3,9,12,10,23,60,20,30,19,13,4,3,2314,32,159,261,115,464,670,248,327,284,141,49,16,0.00240385,0,0,0.0701754,0,0,0.00347826,0.00625,0,0.00847458,0.00127389,0,0.00246002,0.00442478,0,0,0.00439319,0,0.00421941,0,0,0,0.00439078,0.00265252,0.0304569,0.0217391,0.00662252,0.00237812,0.0031407,0,0.00396152,0,0.00136612,0.00555942,0.0065189,0,0.003003,0.00289296,0.001443,0.0021645,0,0.00534759,0.0060241,0.0126582,0.0140056,0.00413223,0.00578035,0.00385208,0,0.0117647,0.0027933,0.00124327,0.00617284,0,0.0150376,0.00331084,0.00272109,0.0021322,0,0,0,0.00307456,0.0039128,0.0015949,0.0384615,0.00606061,0.0483871,0.192982,0.0227273,0.0222222,0.0469565,0.03125,0.04,0.0847458,0.0305732,0,0.0405904,0.0560472,0.0243902,0.0352113,0.05162,0.00763359,0.021097,0.0134228,0.0136986,0.0377358,0.0636663,0.100796,0.228426,0.108696,0.0397351,0.0511296,0.040201,0.173333,0.0339559,0.0128205,0.045082,0.0545518,0.0638853,0.0184697,0.043043,0.0607522,0.031746,0.0584416,0,0.0472371,0.0301205,0.0683544,0.128852,0.0371901,0.0520231,0.0441705,0.016129,0.0117647,0.0441341,0.0323249,0.0246914,0.0229885,0.0676692,0.0454603,0.0340136,0.0298507,0.0101523,0.0192308,0.0163934,0.0315142,0.0463946,0.0542265,1476822540
1,2018,0.7,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.703958,0.002,0.00041,A,0,26,50753,2218,5194,5184,10716,10273,9373,5326,5595,4933,2949,1187,401,106,1,18,16,9,31,27,11,7,10,9,2,0,1796,37,176,228,108,421,531,168,221,192,109,33,13,0.00242131,0,0,0,0.00238095,0,0.00490998,0,0,0,0,0,0,0.00294551,0,0,0.0033241,0,0,0,0,0,0.00442478,0.0027933,0.00990099,0,0,0.00233372,0.00263678,0,0.00346021,0.0123457,0,0.00249377,0.00257732,0,0.00170358,0.000974659,0,0,0,0.00183318,0,0.0026455,0,0,0.00520833,0.00257732,0,0.0224719,0.00222779,0.0012621,0,0,0.00746269,0.00282922,0.00139082,0.00213675,0,0,0,0.00309598,0.000557103,0,0.0290557,0.0120482,0.0284553,0.0408163,0.0285714,0.0113636,0.0425532,0.0185185,0.0264026,0.0619469,0.0330251,0,0.037037,0.0368189,0.0239234,0.0186567,0.0354571,0.0150376,0.0207469,0.0153509,0.0131004,0.0185185,0.0542035,0.0530726,0.183168,0.115385,0.03125,0.0396733,0.027027,0.0921053,0.0311419,0.0246914,0.0361111,0.0459565,0.0438144,0.015873,0.0327087,0.0380117,0.0234604,0.0434783,0,0.0421632,0.0235294,0.0608466,0.0747126,0.0275424,0.0572917,0.0345361,0.0166667,0.0337079,0.0381509,0.026504,0.0192308,0.0208333,0.0410448,0.0366512,0.0333797,0.025641,0.00714286,0.0169492,0.015873,0.0263158,0.032312,0.0347682,1476822540
1,2019,0.7,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.702867,0.002,0.00041,A,0,26,50220,2053,5155,5077,10487,10078,9408,5314,5446,4887,2972,1210,418,72,0,25,19,8,37,9,4,6,2,4,2,0,1484,8,343,293,129,570,318,116,138,111,74,21,7,0,0,0,0,0,0,0.00505051,0,0.00347222,0,0.00269906,0,0.00270636,0.00150376,0,0,0.000558659,0,0.00431034,0,0,0,0,0,0,0,0,0,0.0020284,0,0.0011655,0.0120482,0,0.00107296,0.00132979,0,0.00101215,0,0,0.00421053,0,0.00183318,0,0.00261097,0,0,0,0.00281834,0,0.0123457,0.00195312,0.00130321,0,0,0,0.00232108,0,0,0,0,0,0.000806452,0.00117716,0,0.017284,0.0124224,0.0256959,0.0408163,0.0268293,0.0232558,0.040404,0.00649351,0.0208333,0.0330579,0.0269906,0,0.0284168,0.0315789,0.0229358,0.0201613,0.024581,0.0232558,0.0258621,0.0174292,0.012987,0.0181818,0.0458613,0.0357143,0.107843,0.0833333,0.0340136,0.0339181,0.0290737,0.0519481,0.030303,0.0481928,0.0358166,0.036123,0.0359043,0.00263158,0.0269906,0.0280843,0.0206795,0.0421053,0,0.0366636,0.0374332,0.0417755,0.0457143,0.0306122,0.0163934,0.0284397,0.027027,0.0246914,0.0326451,0.0234579,0.0248447,0.0206186,0.0490566,0.0310767,0.019802,0.0232558,0.00732601,0.0166667,0,0.0225806,0.0247204,0.0306452,1476822540
