SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.8,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,182,0,8,23,1,40,41,31,35,22,6,6,0,1277,0,95,176,37,312,217,228,212,170,58,43,0,0.00404858,0.00549451,0.00381679,0,0.00606061,0,0.00773994,0.00617284,0,0,0.00217391,0,0.00350877,0.00487805,0.00446429,0,0.00385171,0,0,0,0,0,0.0010989,0.00461894,0.048583,0,0,0.00481348,0.00402994,0,0.00210748,0,0.00276625,0.00187793,0.0112108,0.00446429,0.00350542,0.00253807,0.00143266,0.00181818,0,0.0035524,0,0.0117647,0,0.00225225,0,0.00353982,0,0,0.00202378,0.00285714,0,0,0.00668896,0.00365009,0.00237812,0.00246914,0.00292398,0,0,0.00207326,0.00204186,0.0046875,0.0182186,0.021978,0.0133588,0.0196078,0.0323232,0.037037,0.0247678,0.037037,0.008,0.0294118,0.023913,0,0.019883,0.0260163,0.0223214,0.0222841,0.0240732,0.00884956,0.0107527,0.0321101,0.0305344,0,0.0274725,0.0184758,0.271255,0,0.0266667,0.0264741,0.0224525,0.00925926,0.0231823,0.0176991,0.0152144,0.0234742,0.0302691,0.0178571,0.0197578,0.0253807,0.0229226,0.0163636,0,0.0230906,0.0243902,0.0282353,0.0275689,0.0135135,0.0070922,0.0257901,0.00666667,0.00847458,0.017961,0.02,0.0103627,0.0133333,0.0267559,0.0226558,0.020214,0.0222222,0.0219298,0.0416667,0,0.0186593,0.0255232,0.0328125,119704612
1,2011,0.8,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,54058,2504,6106,6105,12639,12152,7318,6742,6759,4701,2456,1181,110,194,1,13,23,4,44,39,32,33,28,9,5,0,1252,3,72,150,26,296,234,212,206,172,67,38,1,0.00614754,0.00561798,0.00575816,0,0.00790514,0,0.00793651,0,0,0,0.00223714,0,0.00471698,0.00486224,0.00440529,0.00269542,0.00401808,0,0,0,0,0,0.00114811,0.00231481,0.0431373,0,0,0.00239808,0.00461627,0,0.00367069,0,0.00416089,0.00126024,0.00816803,0.00214592,0.00471995,0.00434028,0.00565771,0.00361664,0,0.00275229,0,0.0142518,0,0.00470588,0,0.00355872,0,0,0.00302039,0.00362903,0,0,0.00682594,0.00303529,0.00364078,0.00248139,0.00454545,0,0,0.00212314,0.00154162,0.00466563,0.0204918,0.0168539,0.0211132,0.0196078,0.0296443,0.04,0.0285714,0.0253165,0.011194,0.0284091,0.0212528,0,0.0212264,0.0307942,0.0264317,0.0215633,0.0241085,0.00892857,0.0102564,0.0305164,0.0307692,0,0.0241102,0.0185185,0.239216,0,0.0193548,0.0227818,0.0201962,0.00934579,0.0214997,0.00909091,0.0194175,0.0192187,0.0361727,0.0171674,0.0220264,0.0277778,0.0254597,0.0180832,0,0.0201835,0.0240964,0.0308789,0.023753,0.0164706,0,0.0256736,0.0138889,0.00980392,0.0188774,0.0205645,0.0104167,0.012987,0.0238908,0.0217529,0.0218447,0.0198511,0.0212121,0.04,0,0.0184006,0.0226105,0.037325,119704612
1,2012,0.8,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,53764,2442,5995,5856,12405,11883,7691,6491,6636,4782,2541,1136,199,245,0,14,17,6,44,64,31,41,40,12,6,1,1500,14,73,145,38,319,319,245,243,204,88,39,5,0.00647948,0.00568182,0.00385356,0,0.00992063,0,0.00788644,0,0,0,0.0044843,0,0.00471143,0,0.00925926,0.00542005,0.00416233,0,0,0,0,0,0.00222965,0.00700935,0.0555556,0,0,0.00472255,0.0075979,0,0.00422164,0,0.00597015,0.00190537,0.00931315,0.00458716,0.00530752,0.00614574,0.0070028,0.00367647,0,0.00181653,0,0.0121655,0.00248756,0.00696056,0.00689655,0.00382848,0.00769231,0,0.0033419,0.00525253,0,0,0.0105263,0.0040282,0.00493827,0.00490196,0.00595238,0,0,0.00359454,0.00262329,0.00788644,0.0259179,0.0284091,0.0211946,0.02,0.0396825,0.0377358,0.0378549,0.0277778,0.00677966,0.0314465,0.0156951,0,0.0259128,0.0264798,0.0324074,0.0216802,0.024974,0.00884956,0.00465116,0.0272109,0.027668,0,0.0312152,0.0257009,0.289683,0,0.0306748,0.0247934,0.0292227,0.00884956,0.0248021,0.00833333,0.0238806,0.0206415,0.0430733,0.0275229,0.0315329,0.0333626,0.0280112,0.0183824,0,0.0227066,0.025,0.0583942,0.0298507,0.0348028,0.00689655,0.0288412,0.0307692,0.0215054,0.0210797,0.0311111,0.00540541,0.0113636,0.0385965,0.0269386,0.0246914,0.0220588,0.0297619,0.0277778,0.0175439,0.0194105,0.0272823,0.0394322,119704612
1,2013,0.8,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,53270,2381,5874,5666,12089,11518,8110,6216,6483,4882,2636,1082,254,336,0,11,24,5,62,86,46,59,48,18,10,2,1827,17,66,168,54,372,387,299,304,241,116,47,7,0.00854701,0.00609756,0.00383877,0,0.0151515,0,0.0124224,0,0,0,0.00671141,0,0.00598802,0.00163666,0.0106383,0.00568182,0.00430339,0,0,0,0.00378788,0,0.00331492,0.00705882,0.0759494,0,0.0052356,0.00958084,0.00660264,0,0.00528821,0,0.00907716,0.00294503,0.016568,0.00238663,0.00837209,0.0116279,0.0110803,0.00392157,0,0.00357462,0,0.0146699,0.00251256,0.0111857,0.0192308,0.00433231,0.00757576,0,0.00364015,0.00820008,0,0,0.00760456,0.00524834,0.00641026,0.00484262,0.00884956,0,0,0.00442478,0.0080429,0.00911854,0.0299145,0.0365854,0.0287908,0.02,0.0625,0.037037,0.0465839,0.020979,0.00600601,0.0189873,0.0223714,0,0.0323353,0.0278232,0.0425532,0.0255682,0.0252824,0.00877193,0.00888889,0.037694,0.0227273,0,0.0364641,0.04,0.303797,0.0204082,0.0366492,0.0311377,0.0354142,0.00847458,0.029614,0.00877193,0.0363086,0.0281414,0.060355,0.0286396,0.0437209,0.0402504,0.0443213,0.0294118,0,0.0223414,0.0306748,0.0733496,0.0226131,0.0536913,0.025641,0.0310907,0.0454545,0.0102041,0.024441,0.0369004,0.00529101,0.011236,0.0456274,0.0322581,0.0333333,0.0338983,0.0412979,0.0217391,0.0188679,0.0235988,0.0423592,0.0425532,119704612
1,2014,0.8,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,52791,2327,5774,5552,11793,11214,8468,5981,6342,4880,2693,1097,323,495,5,22,35,15,70,145,66,85,70,23,17,4,2284,27,97,182,86,406,578,324,376,281,156,61,16,0.00657895,0.00621118,0.00796813,0,0.0261044,0,0.0176565,0.00699301,0.00294118,0,0.0105018,0,0.00482509,0.00324675,0.02,0.00874636,0.00543183,0,0,0,0.0119522,0,0.00786517,0.00952381,0.0892857,0,0.0108696,0.0116959,0.011118,0,0.00809935,0,0.013373,0.00569514,0.0194647,0.00243309,0.0123954,0.0125,0.0137741,0.00204082,0,0.00730594,0.00613497,0.0295567,0.0025974,0.0182232,0.0285714,0.00505945,0.0227273,0,0.00677436,0.013642,0,0,0.00699301,0.00827515,0.0104712,0.0071599,0.0132353,0,0,0.00719942,0.0114629,0.0138675,0.0372807,0.0559006,0.0378486,0.0196078,0.0803213,0.05,0.0545746,0.041958,0.00882353,0.0186335,0.033839,0,0.0373945,0.0340909,0.055,0.0349854,0.0353069,0.00877193,0.00862069,0.0287611,0.0398406,0,0.0359551,0.05,0.299107,0.02,0.0543478,0.0467836,0.0549722,0,0.0361771,0.0173913,0.0490342,0.0348409,0.0815085,0.0364964,0.0604276,0.0455357,0.046832,0.0367347,0,0.0273973,0.0306748,0.108374,0.0337662,0.0683371,0.0428571,0.036934,0.0681818,0.0102041,0.0323085,0.0467135,0.00520833,0,0.0629371,0.0384019,0.0458115,0.0501193,0.0558824,0,0.0192308,0.0331174,0.0507642,0.0585516,119704612
1,2015,0.8,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.799817,0.002,0.00041,A,0,26,52347,2294,5633,5444,11572,10946,8767,5799,6073,4949,2787,1096,358,713,9,28,47,24,109,187,102,112,104,43,22,10,2938,41,134,207,139,481,783,409,460,375,189,77,25,0.00443459,0.0125,0.0116054,0,0.0462428,0,0.0236967,0.0136986,0.0030303,0,0.013809,0,0.00611247,0.00484653,0.0238095,0.0145773,0.00830105,0,0,0.00222717,0.00877193,0,0.00907029,0.0168269,0.0863636,0,0.0114943,0.0177096,0.0126823,0,0.0115385,0,0.017341,0.0102354,0.0279465,0.0074813,0.0191654,0.0168589,0.0166898,0.00622407,0,0.0094697,0.0124224,0.0417633,0.00574713,0.0264317,0.0422535,0.00962513,0.034188,0,0.00961795,0.018837,0,0,0.0070922,0.0111674,0.0183727,0.0167064,0.0137825,0,0,0.0101966,0.0206243,0.0221169,0.0487805,0.075,0.0425532,0,0.109827,0.0232558,0.0600316,0.0753425,0.0242424,0.0191083,0.0368239,0,0.0501222,0.0387722,0.0619048,0.0466472,0.0464859,0.0206186,0.0166667,0.0222717,0.0307018,0,0.047619,0.0697115,0.322727,0.0196078,0.0689655,0.0743802,0.0760938,0,0.0467033,0.0175439,0.0621387,0.0470829,0.125152,0.0473815,0.0744977,0.0612245,0.0598053,0.0497925,0.0416667,0.0378788,0.0559006,0.118329,0.0402299,0.0792952,0.0633803,0.0478723,0.0683761,0.0190476,0.0416778,0.0589681,0,0.00990099,0.0992908,0.0489547,0.0616798,0.0620525,0.0719755,0.0188679,0.0392157,0.0458849,0.0663322,0.0884676,119704612
1,2016,0.8,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.796902,0.002,0.00041,A,0,26,51847,2208,5500,5356,11277,10730,8992,5645,5881,4994,2846,1099,383,191,4,9,13,11,31,47,36,26,20,10,8,2,2114,31,98,142,110,319,577,295,314,279,141,58,21,0.00218818,0.00636943,0.00394477,0,0.00571429,0,0.00952381,0,0.00290698,0,0.00238663,0,0.00122399,0,0,0.00294118,0.00394144,0,0,0.00225734,0.00456621,0,0,0.00241546,0.0137615,0,0.0111732,0.00477327,0.00259403,0,0.00385463,0,0.00749625,0.00103914,0.00754717,0,0.00710096,0.00522648,0.00282087,0.0042735,0,0.000953289,0,0.00950119,0,0.00444444,0.0205479,0.00356143,0,0,0.00304288,0.00494845,0,0,0.0037594,0.00309199,0.00524934,0.00245098,0.0030581,0,0,0.000750751,0.00688073,0.00664452,0.0350109,0.0700637,0.0394477,0,0.08,0,0.0365079,0.0428571,0.0319767,0.0223881,0.0417661,0,0.0367197,0.0207337,0.0420561,0.0352941,0.0343468,0.010101,0.0125523,0.0158014,0.0182648,0.0172414,0.0213723,0.0507246,0.192661,0,0.0558659,0.0656325,0.0544747,0,0.032489,0.0288462,0.0374813,0.031867,0.0805031,0.0345679,0.06113,0.0505226,0.0310296,0.0405983,0,0.0266921,0.0581395,0.0712589,0.017094,0.0622222,0.0684932,0.0315441,0.0693069,0.00952381,0.0343015,0.0358763,0.00574713,0.00980392,0.0676692,0.0350425,0.0419948,0.0294118,0.0626911,0,0.0363636,0.039039,0.0533257,0.0697674,119704612
1,2017,0.8,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.80227,0.002,0.00041,A,0,26,51363,2220,5360,5248,11031,10472,9169,5500,5727,4978,2926,1141,419,49,0,2,2,2,6,9,6,13,7,4,2,0,1271,19,57,70,59,169,358,165,193,178,88,44,17,0,0,0.00199601,0,0.00196464,0,0,0.00613497,0,0,0.00117647,0,0,0,0,0,0.000565291,0,0,0,0,0,0,0.00707547,0,0,0.0107527,0.00245399,0.000658328,0,0.00114155,0,0,0.000701262,0,0,0.00281514,0.000886525,0,0.00217391,0,0,0,0.00239234,0,0,0.00591716,0.00179395,0,0,0.00028177,0.002079,0,0,0,0.000388098,0,0,0.00151976,0,0,0,0.00120627,0,0.0176211,0.0457516,0.0259481,0,0.0491159,0,0.0182119,0.0245399,0.0289855,0,0.02,0,0.019975,0.00636943,0.0246305,0.0236686,0.0203505,0.0113636,0.0083682,0.013245,0.00446429,0,0.0131422,0.0330189,0.10396,0,0.0483871,0.0368098,0.0329164,0,0.0222603,0.0291262,0.0232558,0.0210379,0.0496894,0.0149626,0.0359712,0.0345745,0.0186514,0.0304348,0,0.0133715,0.0284091,0.0406699,0.00857143,0.0353982,0.0473373,0.0225525,0.029703,0.00970874,0.0177515,0.0282744,0,0.00980392,0.0377358,0.0216041,0.0227577,0.02,0.0455927,0,0.0447761,0.0157539,0.0295537,0.0411184,119704612
1,2018,0.8,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.799469,0.002,0.00041,A,0,26,50800,2276,5219,5119,10747,10242,9300,5424,5536,4951,2989,1170,441,11,0,1,0,1,0,1,3,3,3,0,0,0,674,7,26,35,19,83,216,89,100,92,44,19,12,0,0,0.00201613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00731707,0,0,0,0,0,0,0,0,0,0.000349895,0,0,0,0,0,0.0044843,0,0,0,0,0,0,0,0.000511247,0,0,0,0.000417188,0,0,0,0,0,0,0.00150602,0,0,0,0,0,0.0137931,0.0124224,0.0141129,0,0.0379507,0,0.00672269,0.0189873,0.0214724,0,0.0123153,0,0.00896287,0.00161551,0.00970874,0.00318471,0.0109827,0.0106383,0.00413223,0.00691244,0.00434783,0,0.0071599,0.0243902,0.052381,0,0.0233918,0.0211706,0.0174497,0,0.00990676,0.030303,0.00705219,0.013296,0.0250313,0.0104987,0.019743,0.0210816,0.0118168,0.0179372,0,0.00474383,0.010929,0.0211268,0.00289855,0.0135747,0.0218579,0.0122699,0.018018,0.00934579,0.0109195,0.0141844,0,0,0.0152091,0.0110555,0.0118421,0.0123457,0.0210843,0,0.0447761,0.00894855,0.0130192,0.0247788,119704612
1,2019,0.8,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.800179,0.002,0.00041,A,0,26,50205,2132,5160,5031,10431,10054,9375,5390,5323,4947,3016,1219,450,3,0,0,0,0,0,1,0,1,1,0,0,0,334,5,13,14,12,33,122,47,43,43,24,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00229885,0,0,0,0,0,0,0,0,0,0,0,0.000834028,0,0,0,0,0,0,0,0,0,0,0,0,0.00702576,0.00632911,0.00414938,0,0.0226415,0,0,0.0185185,0.0117994,0,0.00747198,0,0.00275862,0.00156495,0,0,0.00412736,0,0.0042735,0.00479616,0.00471698,0,0.00246002,0.0240964,0.0189573,0,0.0116959,0.00764331,0.010688,0,0.003517,0.0104167,0.00143885,0.00691412,0.00883838,0.00529101,0.00971482,0.00921659,0.00594354,0.0114943,0,0.00191388,0.0106383,0.0145631,0,0.0043573,0.0110497,0.0066242,0.0178571,0.0192308,0.00586338,0.0087573,0,0,0.0075188,0.0053234,0.00664011,0.00740741,0.00940439,0,0.0188679,0.00230415,0.00639386,0.0136752,119704612
