Age_down (>=),Age_up (<),daily mortality rate
0,1,1.55E-05
1,5,1.07E-06
5,10,9.04E-09
10,15,9.04E-07
15,20,8.75E-09
20,25,8.85E-07
25,30,3.51E-06
30,35,5.96E-06
35,40,2.66E-06
40,45,6.19E-06
45,50,1.05E-05
50,55,1.62E-05
55,60,2.85E-05
60,65,3.90E-05
65,70,5.97E-05
70,75,9.78E-05
75,80,0.000206618
80,120,0.000206618
