Aasu,Afao,Afono,Agugulu,Alao,Alega,Alofau,Amaluia,Amanave,Amaua,Amouli,Anua,Aoa,Aoloau,Asili,Atuu,Aua,Auasi,Aumi,Aunuu,Auto,Avaio,Fagaalu,Fagaitua,Fagalii,Fagamalo,Faganeanea,Fagasa,Fagatogo,Failolo,Faleniu,Fatumafuti,Futiga,Iliili,Laulii,Leloaloa,Leone,Malaeimi,Malaeloa/Aitulagi,Malaeloa/Ituau,Maloata,Mapusagafou,Masausi,Masefau,Matuu,Mesepa,Nua,Nuuuli,Onenoa,Pagai,Pago,Pavaiai,Poloa,Sailele,Seetaga,Tafuna,Taputimu,Tula,Utulei,Utumea East,Utumea West,Vailoatai,Vaitogi,Vatia
Maloata,6.166,3.195,18.396,2.812,27.106,19.391,23.143,4.01,2.705,20.935,25.253,13.04,25.027,4.609,3.495,14.057,16.983,16.983,18.091,28.306,20.465,19.975,14.15,21.944,1.547,0.894,13.455,10.653,13.531,2.916,8.228,14.79,7.726,9.107,17.494,15.506,5.147,8.108,6.263,6.875,0,6.537,23.291,20.515,14.067,7.57,2.682,10.999,25.837,22.803,12.617,7.57,2.465,24.063,2.252,9.921,7.396,27.413,14.356,26.798,2.523,6.376,9.539,16.185
Mapusagafou,2.935,4.765,13.493,6.829,21.583,13.893,17.581,3.802,7.841,15.531,19.652,8.643,19.573,2.144,4.172,9.408,11.947,11.947,12.458,22.466,15.009,14.434,8.704,16.578,7.756,6.236,7.655,5.91,8.583,7.542,1.695,9.079,2.734,2.792,11.889,10.721,2.972,1.93,1.816,2.241,6.537,0,18.012,15.56,8.333,1.053,5.322,5.005,20.557,17.368,8.035,1.393,8.159,18.775,5.902,3.391,4.096,22.06,9.185,21.175,6.178,4.044,3.61,12.046
Masausi,17.151,22.659,5.017,24.605,3.989,4.174,1.602,21.786,25.421,2.513,2.621,10.356,1.934,19.071,22.092,9.289,6.315,6.315,5.676,6.045,3.064,3.711,9.321,1.469,24.812,22.569,10.402,12.646,9.761,25.25,16.7,8.975,19.388,17.224,6.191,7.842,20.96,16.083,19.584,19.606,23.291,18.012,0,3.039,9.712,17.107,23.121,13.048,2.556,1.018,10.701,18.017,25.538,0.773,23.592,15.462,21.195,4.124,8.965,3.958,23.932,21.674,17.972,7.864
Masefau,14.431,20.093,2.12,21.979,7.024,2.763,3.789,19.273,22.739,2.037,5.564,7.489,4.969,16.435,19.542,6.458,3.617,3.617,4.032,9.011,2.269,2.761,6.903,2.258,22.049,19.765,8.169,9.942,7.065,22.599,14.382,6.808,17.191,15.102,4.335,5.011,18.531,13.651,17.219,17.314,20.515,15.56,3.039,0,7.49,14.721,20.518,10.726,5.435,3.08,7.901,15.722,22.816,3.758,20.955,13.316,18.999,7.045,6.377,6.983,21.307,19.378,15.958,4.827
Matuu,7.943,13.047,5.599,15.051,13.254,5.565,9.251,12.129,15.951,7.213,11.333,3.562,11.24,9.599,12.466,3.146,4.06,4.06,4.127,14.258,6.683,6.101,0.961,8.263,15.525,13.451,0.69,3.816,2.283,15.728,6.988,0.746,9.724,7.614,3.556,3.516,11.26,6.405,9.873,9.901,14.067,8.333,9.712,7.49,0,7.402,13.548,3.34,12.243,9.038,3.176,8.309,16.146,10.468,14.063,5.828,11.534,13.731,1.847,12.863,14.382,11.97,8.477,5.555
Mesepa,3.257,5.786,12.678,7.861,20.631,12.967,16.632,4.793,8.887,14.614,18.693,8.01,18.636,3.077,5.19,8.7,11.121,11.121,11.516,21.469,14.086,13.499,7.831,15.664,8.806,7.236,6.717,5.301,7.826,8.579,0.667,8.146,2.873,2.089,10.955,9.961,3.859,1.118,2.498,2.682,7.57,1.053,17.107,14.721,7.402,0,6.358,4.062,19.644,16.439,7.378,1.225,9.21,17.866,6.946,2.352,4.521,21.133,8.366,20.209,7.215,4.694,3.106,11.396
Nua,6.214,0.667,18.409,1.509,26.79,19.064,22.79,1.741,2.566,20.676,24.879,13.216,24.752,4.091,1.225,14.138,16.91,16.91,17.668,27.758,20.171,19.624,13.811,21.714,3.001,3.207,12.886,10.591,13.453,2.222,6.947,14.293,5.634,7.41,17.086,15.546,2.971,7.191,4.38,4.849,2.682,5.322,23.121,20.518,13.548,6.358,0,10.269,25.676,22.532,12.696,5.955,3.011,23.891,0.667,8.599,4.927,27.211,14.176,26.411,0.859,3.859,7.585,16.545
Nuuuli,5.09,9.746,8.729,11.777,16.579,8.905,12.578,8.806,12.719,10.552,14.647,4.734,14.576,6.427,9.159,5.106,7.164,7.164,7.457,17.489,10.023,9.438,3.825,11.602,12.401,10.462,2.655,2.674,4.119,12.468,3.664,4.084,6.482,4.492,6.893,6.167,7.921,3.085,6.537,6.592,10.999,5.005,13.048,10.726,3.34,4.062,10.269,0,15.582,12.377,4.072,4.998,12.956,13.806,10.807,2.746,8.284,17.071,4.463,16.17,11.112,8.659,5.492,7.877
Onenoa,19.703,25.212,7.504,27.16,1.935,6.684,3.295,24.335,27.976,5.03,2.137,12.872,1.383,21.626,24.644,11.815,8.855,8.855,8.167,4.526,5.564,6.18,11.872,3.98,27.36,25.11,12.931,15.197,12.31,27.805,19.227,11.503,21.887,19.71,8.703,10.364,23.5,18.627,22.115,22.123,25.837,20.557,2.556,5.435,12.243,19.644,25.676,15.582,0,3.247,13.236,20.538,28.091,1.785,26.148,17.958,23.69,1.611,11.52,2.368,26.487,24.19,20.427,10.223
Pagai,16.644,22.053,4.791,24.025,4.307,3.475,0.767,21.157,24.872,1.868,2.574,9.991,2.226,18.509,21.48,8.909,5.915,5.915,4.934,5.986,2.362,2.945,8.724,0.907,24.312,22.103,9.722,12.151,9.289,24.682,16.008,8.294,18.647,16.466,5.485,7.484,20.298,15.438,18.9,18.895,22.803,17.368,1.018,3.08,9.038,16.439,22.532,12.377,3.247,0,10.283,17.312,25.012,1.566,23.021,14.719,20.448,4.694,8.447,4.086,23.353,20.96,17.181,7.772
Pago,6.543,12.313,5.781,14.132,14.586,7.006,10.702,11.569,14.854,8.429,12.804,0.665,12.491,8.605,11.786,1.449,4.388,4.388,5.954,16.036,8.005,7.607,2.465,9.4,14.149,11.877,3.177,2.138,1.135,14.733,7.227,3.482,10.156,8.405,5.373,2.89,10.971,6.26,9.814,10.06,12.617,8.035,10.701,7.901,3.176,7.378,12.696,4.072,13.236,10.283,0,8.536,14.918,11.471,13.102,6.756,11.886,14.823,2.074,14.345,13.462,12.045,9.475,4.019
Pavaiai,4.248,5.327,13.708,7.417,21.453,13.854,17.466,4.264,8.521,15.511,19.501,9.177,19.489,3.458,4.736,9.825,12.144,12.144,12.378,22.178,14.973,14.367,8.819,16.562,8.652,7.377,7.619,6.487,8.922,8.155,1.344,9.042,1.651,1.538,11.834,11.046,3.15,2.305,1.659,1.594,7.57,1.393,18.017,15.722,8.309,1.225,5.955,4.998,20.538,17.312,8.536,0,8.923,18.769,6.59,2.724,3.353,22,9.408,21.002,6.807,3.662,2.224,12.547
Poloa,8.391,3.674,20.696,1.821,29.303,21.571,25.319,4.751,0.696,23.145,27.423,15.371,27.238,6.548,4.23,16.365,19.251,19.251,20.227,30.403,22.66,22.146,16.308,24.167,1.043,3.349,15.508,12.896,15.785,1.241,9.831,16.882,8.639,10.402,19.635,17.806,5.98,9.934,7.381,7.859,2.465,8.159,25.538,22.816,16.146,9.21,3.011,12.956,28.091,25.012,14.918,8.923,0,26.311,2.35,11.511,7.794,29.654,16.577,28.965,2.218,6.713,10.595,18.572
Sailele,17.924,23.428,5.772,25.375,3.274,4.917,1.884,22.551,26.193,3.258,2.148,11.122,1.31,19.842,22.859,10.057,7.086,7.086,6.411,5.471,3.8,4.433,10.088,2.207,25.584,23.341,11.157,13.418,10.533,26.021,17.455,9.729,20.131,17.961,6.937,8.609,21.721,16.846,20.341,20.356,24.063,18.775,0.773,3.758,10.468,17.866,23.891,13.806,1.785,1.566,11.471,18.769,26.311,0,24.363,16.203,21.936,3.352,9.737,3.323,24.702,22.424,18.697,8.583
Seetaga,6.578,1.334,18.841,1.034,27.289,19.558,23.292,2.404,1.943,21.16,25.386,13.604,25.243,4.524,1.88,14.548,17.356,17.356,18.176,28.294,20.66,20.122,14.297,22.194,2.357,2.912,13.408,11.015,13.892,1.664,7.548,14.806,6.3,8.057,17.59,15.967,3.636,7.742,5.032,5.512,2.252,5.902,23.592,20.955,14.063,6.946,0.667,10.807,26.148,23.021,13.102,6.59,2.35,24.363,0,9.212,5.572,27.691,14.635,26.922,0.391,4.498,8.248,16.905
Tafuna,5.058,7.994,11.379,10.085,18.807,11.288,14.837,6.951,11.154,12.95,16.848,7.421,16.872,5.402,7.397,7.849,9.817,9.817,9.793,19.472,12.403,11.779,6.471,13.998,11.142,9.579,5.147,5.021,6.865,10.816,1.696,6.532,3.928,1.787,9.272,8.899,5.871,2.148,4.383,4.234,9.921,3.391,15.462,13.316,5.828,2.352,8.599,2.746,17.958,14.719,6.756,2.724,11.511,16.203,9.212,0,5.732,19.391,7.173,18.337,9.457,6.271,2.746,10.621
Taputimu,6.863,4.288,17.013,6.002,24.508,17.021,20.552,3.389,7.207,18.682,22.544,12.524,22.592,5.128,3.903,13.178,15.447,15.447,15.525,25.062,18.135,17.51,12.106,19.731,7.926,7.603,10.846,9.821,12.269,6.709,4.685,12.25,1.81,3.989,15.004,14.387,2.383,5.635,2.345,1.868,7.396,4.096,21.195,18.999,11.534,4.521,4.927,8.284,23.69,20.448,11.886,3.353,7.794,21.936,5.572,5.732,0,25.115,12.73,24.017,5.597,1.081,3.492,15.899
Tula,21.27,26.738,9.107,28.7,1.206,8.167,4.575,25.847,29.53,6.536,2.806,14.47,2.526,23.173,26.166,13.408,10.438,10.438,9.623,3.671,7.051,7.635,13.4,5.497,28.933,26.693,14.416,16.766,13.883,29.351,20.7,12.987,23.317,21.128,10.178,11.958,24.991,20.13,23.592,23.58,27.413,22.06,4.124,7.045,13.731,21.133,27.211,17.071,1.611,4.694,14.823,22,29.654,3.352,27.691,19.391,25.115,0,13.078,1.989,28.027,25.643,21.811,11.832
Utulei,8.198,13.734,4.312,15.652,12.751,5.06,8.803,12.899,16.457,6.579,10.914,2.147,10.672,10.111,13.177,1.392,2.762,2.762,3.907,14.072,6.114,5.655,0.887,7.592,15.866,13.66,2.291,3.705,0.941,16.289,8.065,1.737,10.935,8.944,3.318,1.759,12.157,7.283,10.864,10.994,14.356,9.185,8.965,6.377,1.847,8.366,14.176,4.463,11.52,8.447,2.074,9.408,16.577,9.737,14.635,7.173,12.73,13.078,0,12.46,14.978,13.046,9.903,3.729
Utumea East,20.632,25.908,8.858,27.913,0.791,7.408,3.657,24.977,28.798,5.917,1.546,14.07,2.028,22.434,25.325,12.986,9.994,9.994,8.746,2.199,6.35,6.824,12.66,4.99,28.294,26.117,13.53,16.163,13.327,28.586,19.734,12.118,22.239,20.031,9.334,11.567,24.06,19.254,22.626,22.562,26.798,21.175,3.958,6.983,12.863,20.209,26.411,16.17,2.368,4.086,14.345,21.002,28.965,3.323,26.922,18.337,24.017,1.989,12.46,0,27.244,24.608,20.641,11.79
Utumea West,6.947,1.487,19.195,0.673,27.616,19.887,23.618,2.568,1.721,21.494,25.709,13.969,25.574,4.872,2.072,14.908,17.705,17.705,18.499,28.601,20.992,20.449,14.629,22.53,2.398,3.236,13.723,11.37,14.242,1.364,7.805,15.126,6.43,8.252,17.915,16.324,3.784,8.039,5.219,5.665,2.523,6.178,23.932,21.307,14.382,7.215,0.859,11.112,26.487,23.353,13.462,6.807,2.218,24.702,0.391,9.457,5.597,28.027,14.978,27.244,0,4.517,8.395,17.277
Vailoatai,6.554,3.231,17.354,4.923,25.076,17.508,21.098,2.397,6.127,19.166,23.118,12.664,23.128,4.611,2.885,13.387,15.792,15.792,16.026,25.721,18.626,18.015,12.476,20.217,6.854,6.636,11.28,9.935,12.519,5.633,4.997,12.701,2.426,4.625,15.488,14.654,1.603,5.803,2.235,2.069,6.376,4.044,21.674,19.378,11.97,4.694,3.859,8.659,24.19,20.96,12.045,3.662,6.713,22.424,4.498,6.271,1.081,25.643,13.046,24.608,4.517,0,4.332,16.063
Vaitogi,6.353,6.921,14.065,8.934,21.157,13.807,17.237,5.845,10.108,15.463,19.19,10.139,19.285,5.669,6.373,10.594,12.51,12.51,12.3,21.622,14.909,14.265,9.176,16.503,10.47,9.443,7.811,7.639,9.612,9.675,2.722,9.151,1.984,1.138,11.812,11.638,4.615,3.846,3.283,2.737,9.539,3.61,17.972,15.958,8.477,3.106,7.585,5.492,20.427,17.181,9.475,2.224,10.595,18.697,8.248,2.746,3.492,21.811,9.903,20.641,8.395,4.332,0,13.366
Vatia,10.333,16.204,3.037,17.939,11.851,5.37,8.387,15.512,18.575,6.159,10.331,3.403,9.789,12.477,15.698,2.772,2.751,2.751,5.215,13.758,5.954,5.885,4.609,6.875,17.732,15.383,6.015,6.136,3.768,18.501,11.229,5.256,14.157,12.333,4.899,2.082,14.965,10.278,13.831,14.078,16.185,12.046,7.864,4.827,5.555,11.396,16.545,7.877,10.223,7.772,4.019,12.547,18.572,8.583,16.905,10.621,15.899,11.832,3.729,11.79,17.277,16.063,13.366,0
