Aasu,Afao,Afono,Agugulu,Alao,Alega,Alofau,Amaluia,Amanave,Amaua,Amouli,Anua,Aoa,Aoloau,Asili,Atuu,Aua,Auasi,Aumi,Aunuu,Auto,Avaio,Fagaalu,Fagaitua,Fagalii,Fagamalo,Faganeanea,Fagasa,Fagatogo,Failolo,Faleniu,Fatumafuti,Futiga,Iliili,Laulii,Leloaloa,Leone,Malaeimi,Malaeloa/Aitulagi,Malaeloa/Ituau,Maloata,Mapusagafou,Masausi,Masefau,Matuu,Mesepa,Nua,Nuuuli,Onenoa,Pagai,Pago,Pavaiai,Poloa,Sailele,Seetaga,Tafuna,Taputimu,Tula,Utulei,Utumea East,Utumea West,Vailoatai,Vaitogi,Vatia
Amouli,19.087,24.379,7.364,26.38,1.968,5.862,2.111,23.453,27.259,4.38,0,12.536,0.943,20.894,23.798,11.451,8.461,8.461,7.211,3.447,4.805,5.279,11.116,3.48,26.75,24.571,12.002,14.616,11.782,27.05,18.226,10.587,20.76,18.556,7.796,10.037,22.547,17.729,21.119,21.067,25.253,19.652,2.621,5.564,11.333,18.693,24.879,14.647,2.137,2.574,12.804,19.501,27.423,2.148,25.386,16.848,22.544,2.806,10.914,1.546,25.709,23.118,19.19,10.331
Anua,7.029,12.85,5.378,14.637,14.279,6.808,10.447,12.13,15.329,8.156,12.536,0,12.18,9.13,12.332,1.087,4.077,4.077,5.871,15.817,7.761,7.408,2.739,9.097,14.579,12.279,3.665,2.733,1.311,15.224,7.875,3.752,10.802,9.067,5.313,2.515,11.563,6.893,10.431,10.692,13.04,8.643,10.356,7.489,3.562,8.01,13.216,4.734,12.872,9.991,0.665,9.177,15.371,11.122,13.604,7.421,12.524,14.47,2.147,14.07,13.969,12.664,10.139,3.403
Aoa,18.869,24.269,6.896,26.246,2.099,5.688,2.05,23.366,27.096,4.093,0.943,12.18,0,20.733,23.694,11.103,8.11,8.11,7.12,4.161,4.583,5.139,10.946,3.091,26.537,24.324,11.921,14.374,11.508,26.905,18.194,10.494,20.796,18.605,7.685,9.667,22.495,17.644,21.088,21.067,25.027,19.573,1.934,4.969,11.24,18.636,24.752,14.576,1.383,2.226,12.491,19.489,27.238,1.31,25.243,16.872,22.592,2.526,10.672,2.028,25.574,23.128,19.285,9.789
Aoloau,2.197,3.728,14.323,5.545,22.787,15.053,18.794,3.138,6.365,16.646,20.894,9.13,20.733,0,3.239,10.047,12.833,12.833,13.69,23.855,16.151,15.622,9.788,17.677,5.975,4.187,8.959,6.5,9.37,6.179,3.743,10.336,4.37,4.929,13.1,11.456,3.055,3.5,2.922,3.603,4.609,2.144,19.071,16.435,9.599,3.077,4.091,6.427,21.626,18.509,8.605,3.458,6.548,19.842,4.524,5.402,5.128,23.173,10.111,22.434,4.872,4.611,5.669,12.477
Asili,5.432,0.598,17.444,2.688,25.719,18.006,21.717,0.541,3.789,19.631,23.798,12.332,23.694,3.239,0,13.217,15.927,15.927,16.592,26.636,19.118,18.558,12.771,20.673,4.133,3.774,11.796,9.659,12.489,3.422,5.76,13.212,4.437,6.184,16.015,14.602,1.769,6.074,3.155,3.636,3.495,4.172,22.092,19.542,12.466,5.19,1.225,9.159,24.644,21.48,11.786,4.736,4.23,22.859,1.88,7.397,3.903,26.166,13.177,25.325,2.072,2.885,6.373,15.698
Atuu,7.991,13.748,4.339,15.578,13.201,5.725,9.36,12.99,16.303,7.071,11.451,1.087,11.103,10.047,13.217,0,2.995,2.995,4.831,14.731,6.674,6.325,2.204,8.017,15.591,13.31,3.448,3.558,1.018,16.18,8.496,3.127,11.419,9.566,4.288,1.452,12.361,7.585,11.165,11.376,14.057,9.408,9.289,6.458,3.146,8.7,14.138,5.106,11.815,8.909,1.449,9.825,16.365,10.057,14.548,7.849,13.178,13.408,1.392,12.986,14.908,13.387,10.594,2.772
Aua,10.86,16.48,1.566,18.378,10.208,2.857,6.378,15.656,19.156,4.083,8.461,4.077,8.11,12.833,15.927,2.995,0,0,2.464,11.768,3.711,3.439,3.348,5.022,18.508,16.256,4.705,6.357,3.468,19.005,10.802,3.472,13.645,11.601,2.171,1.581,14.919,10.043,13.62,13.734,16.983,11.947,6.315,3.617,4.06,11.121,16.91,7.164,8.855,5.915,4.388,12.144,19.251,7.086,17.356,9.817,15.447,10.438,2.762,9.994,17.705,15.792,12.51,2.751
Auasi,10.86,16.48,1.566,18.378,10.208,2.857,6.378,15.656,19.156,4.083,8.461,4.077,8.11,12.833,15.927,2.995,0,0,2.464,11.768,3.711,3.439,3.348,5.022,18.508,16.256,4.705,6.357,3.468,19.005,10.802,3.472,13.645,11.601,2.171,1.581,14.919,10.043,13.62,13.734,16.983,11.947,6.315,3.617,4.06,11.121,16.91,7.164,8.855,5.915,4.388,12.144,19.251,7.086,17.356,9.817,15.447,10.438,2.762,9.994,17.705,15.792,12.51,2.751
Aumi,11.929,17.172,3.002,19.169,9.127,1.508,5.125,16.255,20.052,3.164,7.211,5.871,7.12,13.69,16.592,4.831,2.464,2.464,0,10.226,2.612,1.989,3.945,4.208,19.573,17.435,4.803,7.524,4.839,19.84,11.076,3.38,13.721,11.55,0.6,3.725,15.374,10.531,13.969,13.961,18.091,12.458,5.676,4.032,4.127,11.516,17.668,7.457,8.167,4.934,5.954,12.378,20.227,6.411,18.176,9.793,15.525,9.623,3.907,8.746,18.499,16.026,12.3,5.215
Aunuu,22.15,27.227,10.766,29.266,2.645,9.031,5.407,26.26,30.197,7.703,3.447,15.817,4.161,23.855,26.636,14.731,11.768,11.768,10.226,0,8.06,8.43,14.17,6.885,29.777,27.659,14.897,17.743,14.974,29.956,20.954,13.525,23.318,21.104,10.825,13.349,25.286,20.568,23.824,23.705,28.306,22.466,6.045,9.011,14.258,21.469,27.758,17.489,4.526,5.986,16.036,22.178,30.403,5.471,28.294,19.472,25.062,3.671,14.072,2.199,28.601,25.721,21.622,13.758
