MaritalStatus,Single,Married,Widowed,Divorced
15-19,0.9531,0.0457,0.0004,0.0009
20-24,0.6496,0.3386,0.0021,0.0097
25-29,0.3195,0.6428,0.0074,0.0304
30-34,0.1917,0.755,0.01,0.0434
35-39,0.1057,0.8091,0.025,0.0602
40-44,0.0693,0.823,0.0403,0.0674
45-49,0.0385,0.8534,0.0509,0.0571
50-54,0.0393,0.7991,0.1048,0.0568
55-59,0.0323,0.7111,0.2,0.0566
60-64,0.0285,0.6294,0.3158,0.0263
65+,0.0364,0.392,0.5473,0.0243
